=== EXERCISE RESULTS ===

A) NUCLEI SEGMENTATION AND COUNTING:
    Total nuclei segmented: 69 nuclei

B) FEATURE CALCULATIONS FOR EACH NUCLEUS:
Nucleus	Area		Perimeter	Axis Ratio
-------	-----		----------	----------
1	2317.0		193.6		1.395
2	2608.0		193.4		1.419
3	5192.0		429.1		2.620
4	3295.0		210.0		1.132
5	1912.0		166.9		1.193
6	4984.0		266.4		1.199
7	2351.0		176.3		1.159
8	16618.0		719.4		1.157
9	2329.0		455.3		2.531
10	4473.0		269.7		1.074
11	4811.0		262.0		1.318
12	3728.0		238.3		1.161
13	2740.0		191.6		1.180
14	8188.0		572.0		1.118
15	6246.0		312.4		1.131
16	5072.0		367.1		1.092
17	8454.0		539.2		1.223
18	8793.0		685.9		1.070
19	9792.0		463.6		1.264
20	6314.0		310.4		1.355
21	6426.0		606.3		1.476
22	2690.0		197.8		1.185
23	5056.0		271.3		1.189
24	1988.0		190.8		1.439
25	2900.0		198.2		1.188
26	5805.0		345.9		1.265
27	6459.0		353.1		1.214
28	5175.0		277.4		1.037
29	5140.0		321.7		1.043
30	4928.0		337.2		1.218
31	4906.0		267.2		1.597
32	10763.0		667.1		1.109
33	11659.0		509.0		1.520
34	9609.0		569.2		1.542
35	3728.0		238.4		1.237
36	6392.0		335.3		1.174
37	3661.0		219.0		1.129
38	3400.0		221.7		1.249
39	3937.0		276.4		1.190
40	7643.0		437.6		1.118
41	1994.0		196.9		1.116
42	3949.0		245.6		1.060
43	1993.0		200.5		1.397
44	4103.0		266.6		1.060
45	7148.0		596.6		1.097
46	5368.0		360.7		1.405
47	2497.0		189.3		1.434
48	5470.0		382.5		1.209
49	155.0		103.1		1.383
50	4058.0		244.7		1.088
51	4287.0		247.8		1.090
52	7443.0		380.5		1.037
53	3505.0		240.8		1.410
54	5384.0		301.1		1.192
55	3892.0		237.1		1.358
56	3989.0		231.2		1.079
57	1722.0		197.4		1.137
58	6117.0		363.2		1.507
59	3161.0		212.7		1.040
60	3366.0		214.6		1.160
61	7935.0		473.1		1.129
62	9932.0		572.0		1.195
63	3152.0		241.1		1.126
64	5500.0		295.2		1.262
65	4821.0		253.8		1.114
66	5403.0		391.0		1.302
67	3156.0		223.2		1.184
68	2120.0		230.1		1.443
69	362.0		140.2		5.940
